Machine,AUC (source),AUC (target),pAUC,pAUC (source),pAUC (target),Precision (source),Precision (target),Recall (source),Recall (target),F1 score (source),F1 score (target)
3DPrinter,0.487,0.4804,0.5047368421052632,0.5073684210526316,0.4884210526315789,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
AirCompressor,0.3724,0.5062000000000001,0.4810526315789473,0.48,0.4757894736842105,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
Scanner,0.2884,0.4794,0.4826315789473684,0.4884210526315789,0.4757894736842105,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
ToyCircuit,0.4651999999999999,0.4574,0.481578947368421,0.4778947368421052,0.4842105263157895,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
HoveringDrone,0.4142,0.5312,0.5136842105263157,0.511578947368421,0.52,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
HairDryer,0.282,0.7034,0.5031578947368421,0.511578947368421,0.4905263157894737,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
ToothBrush,0.1828,0.8632,0.4736842105263157,0.4736842105263157,0.5894736842105264,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
RoboticArm,0.4254,0.5536,0.5110526315789473,0.4926315789473684,0.4757894736842105,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
BrushlessMotor,0.505,0.6098000000000001,0.5005263157894737,0.4968421052631579,0.5136842105263157,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
Mean,0.38026666666666664,0.5760666666666666,0.49467836257309933,0.4933333333333334,0.5015204678362574,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
Std,0.10868725776281228,0.13218108790594818,0.014915376355671795,0.014585691011106352,0.03674841889342336,0.0,0.0,0.0,0.0,0.0,0.0
